name,BRI,gri,g'r'i'
SDSS-II SN 18053,False,False,True
LSQ14gv,False,True,False
SDSS-II SN 4330,False,False,True
SDSS-II SN 16714,False,False,True
SN2001el,True,False,False
SN2003ip,True,False,False
SDSS-II SN 2128,False,False,True
SDSS-II SN 15048,False,False,True
SN1997bq,True,False,False
SNLS-05D3gv,False,True,False
SNLS-03D4cw,False,True,False
SDSS-II SN 15732,False,False,True
SDSS-II SN 2291,False,False,True
SDSS-II SN 20912,False,False,True
SN2007jg,False,True,True
SDSS-II SN 20268,False,False,True
SDSS-II SN 8578,False,False,True
SDSS-II SN 6216,False,False,True
SDSS-II SN 16439,False,False,True
Gaia15aek,False,True,False
SDSS-II SN 14152,False,False,True
SDSS-II SN 21456,False,False,True
SDSS-II SN 7357,False,False,True
SDSS-II SN 4558,False,False,True
SDSS-II SN 15088,False,False,True
SDSS-II SN 19219,False,False,True
SDSS-II SN 14085,False,False,True
SDSS-II SN 14335,False,False,True
SDSS-II SN 19549,False,False,True
SDSS-II SN 685,False,False,True
SNLS-05D2ja,False,True,False
SDSS-II SN 4484,False,False,True
SDSS-II SN 20522,False,False,True
SN2005em,False,True,True
SDSS-II SN 13617,False,False,True
SDSS-II SN 6809,False,False,True
SDSS-II SN 13946,False,False,True
SDSS-II SN 19099,False,False,True
SN2005ix,False,False,True
SN2017yh,False,True,False
SDSS-II SN 11263,False,False,True
SN2007qr,False,False,True
SN2005lq,False,False,True
SDSS-II SN 2806,False,False,True
SN2015W,False,True,False
SDSS-II SN 14353,False,False,True
SDSS-II SN 14285,False,False,True
SDSS-II SN 15767,False,False,True
SDSS-II SN 14515,False,False,True
SDSS-II SN 17853,False,False,True
SDSS-II SN 18171,False,False,True
SN2017lm,False,True,False
SNLS-03D1bm,False,True,False
SN2007lv,False,False,True
SDSS-II SN 21734,False,False,True
SDSS-II SN 21406,False,False,True
SN1998dk,True,False,False
SDSS-II SN 20352,False,False,True
SDSS-II SN 16569,False,False,True
SDSS-II SN 20266,False,False,True
SN2017awk,False,True,False
SDSS-II SN 6753,False,False,True
SN2016ai,False,True,False
SDSS-II SN 14072,False,False,True
SDSS-II SN 19776,False,False,True
SN2015I,False,True,False
SN2006mu,False,False,True
SDSS-II SN 21065,False,False,True
